"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","360","Maxthon","QQ Browser","SeaMonkey","Comodo Dragon","Flock","Pale Moon","iPod Touch","Sony PS3","Obigo","Iron","Kindle"
Azerbaijan ,12.93,37.77,8.57,1.28,1.02,0,35.3,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,12.32,44.78,30.91,1.86,1.27,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.66,67.89,19.22,1.44,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,22.42,15.44,47.5,1.26,1.93,0,3.33,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras ,26.88,38.25,22.89,2.98,1.77,1.24,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,17.95,33.43,37.56,2.97,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama ,38.34,34.41,15.83,4.85,2.79,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova ,9.43,55.79,23.96,1.05,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia ,22.24,29.51,35.63,4.31,1.09,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,23.61,45.02,21.38,4.62,1.18,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,45.32,2.57,41.33,1.1,5.67,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,13.09,15.2,40.39,2.75,1.77,0,21.95,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,10.28,37.88,33.15,1.87,0,0,11.15,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,24.3,36.31,34.33,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,12.91,32.26,23.16,2.37,0,0,26.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,30.46,34.64,23.86,5.93,1.53,1.11,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,36.29,23.32,12.29,6.58,4.51,4.79,4.49,0,4.08,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman ,31.19,24.02,15.33,2.5,6.32,1.05,2.26,2.73,11.26,0,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,19.54,43.67,25.94,4.54,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,15.1,8.91,27.23,0,1.41,0,30.21,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,9.59,25.49,55.41,2.98,2.01,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,15.85,31.04,39.82,1.06,0,1.43,7.15,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,20.91,42.16,23.54,10.16,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,19.51,40.39,33.41,2.02,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,11.11,14.59,47.09,2.9,1.46,0,16.89,1.37,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta ,30.64,39.4,18.33,5.9,2.1,1.24,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,19.57,34.4,22.7,1.57,1.11,0,9.11,0,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.96,23.04,50.76,2.32,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,10.84,17.06,40.03,5.29,4.02,6.63,7.13,1.1,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,18.32,35.67,33.85,3.29,1.03,0,3.72,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,27.74,18.35,32.51,12.73,2.12,4.27,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,53.02,12.41,10.54,21.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9.43,22.92,24.34,8.11,6.51,2.52,15.09,0,8.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,34.79,32.7,14.55,10.76,1.69,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,11.55,13.78,39.69,1.36,0,0,22.67,2.69,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
