"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","BlackBerry","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Mozilla","Obigo","Samsung","Openwave Mobile Browser","AppleWebKit","Midori","Iron","Pale Moon"
Kazakhstan ,12.78,36.91,20.79,2.93,0,1.79,21.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,11.93,15.98,37.7,3.04,0,2.8,22.66,2.91,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,30.32,35.83,21.92,6.23,1.27,2.19,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal ,8.28,37.33,29.94,2.04,1.3,1.91,14.1,1.03,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.77,68.66,18.38,1.67,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,23.45,4.5,43.83,1.92,1.7,20.03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,11.99,34.22,35.99,1.17,2.71,3.48,7.17,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,49.18,22.73,9.32,13.59,2.14,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon ,25.57,30.63,16.6,7.34,4.09,8.99,2.57,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana ,13.55,14.18,42.35,2.72,0,2.55,15.89,2.22,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,18.83,44.51,24.47,4.89,0,1.5,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,9.77,28.55,50.2,3.38,0,4.1,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,16.43,19.19,42.2,1.22,1.16,5.75,3.86,6.67,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,31.23,24.95,11.41,6.85,5.02,10.4,1.66,4.21,1.13,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland ,17.9,43.88,22.55,11.62,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,12.89,9.28,22.92,0,0,3.58,30.78,14.37,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,19.86,41.55,29.19,2.14,0,1.51,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
