"Continent","IE","Firefox","Safari","Chrome","BlackBerry","iPhone","Android","Opera","Nokia","Maxthon","UC Browser","NetFront","Bolt","Motorola Internet Browser","Windows Media Player","Sony PS3","Camino","Samsung","Mozilla"
Falkland Islands (Malvinas) ,77.86,13.57,3.2,3.27,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,59.04,35.42,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,46.73,37.99,2.41,6.77,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,59.63,36.99,0,1.26,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,41.73,47.96,0,6.57,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,70.59,22.58,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,42.98,47.11,2.8,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51
Palau ,46.74,28.65,4.74,17.8,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0
Central African Republic ,60.08,22.2,0,14.12,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,40.83,51.26,0,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,56.24,26.51,0,13.08,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,1.19
Mayotte ,55.53,28.81,5.54,8.66,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,23.53,47.26,20.32,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,29.58,38.22,0,5.64,0,0,0,13.07,9.5,1.29,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,87.13,10.4,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,39.11,52.53,1.67,5.32,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
Tuvalu ,21.27,68.24,7.99,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,84.56,12.93,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,3.8,6.33,0,89.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,1.72,98.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
