"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Montserrat ,39.73,35.89,19.44,2.4,0,0,0,0,0,0,0,0,0,0,1.08,0,0
Mayotte ,50.38,35.41,7.01,4.48,0,0,0,0,0,0,0,1.47,0,0,0,0,0
Guinea ,52.63,34.8,4.78,2.05,0,0,0,1.94,0,0,0,0,0,0,0,0,0
Palau ,44.19,29.32,14.85,6.24,0,0,0,0,1.98,0,0,0,1.46,0,0,0,0
Sao Tome and Principe ,67.65,20.47,8.64,0,0,0,0,1.03,1.05,0,0,0,0,0,0,0,0
Comoros ,66.61,21.46,5.33,2.49,0,0,0,0,0,0,0,0,0,0,0,0,3.42
Guinea-Bissau ,70.08,18.18,8.43,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,34.21,54.26,8.93,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0
Central African Republic ,49.04,32.79,11.16,1.88,0,1.56,0,2.34,0,0,0,0,0,0,0,0,0
Saint Helena ,83.6,11.03,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,22.89,60.09,10.17,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,41.04,22.08,9.2,2.1,0,0,0,18.52,4.11,0,0,0,0,0,0,0,0
North Korea ,41.2,50.54,4.59,1.14,0,0,0,1.36,0,1,0,0,0,0,0,0,0
Tuvalu ,23.51,67.06,6.59,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,33.05,44.75,18.4,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,48.65,32.43,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
