"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","BlackBerry","Nokia","UC Browser","NetFront","Dolfin","Maxthon","TheWorld","SeaMonkey","Flock","iPod Touch","Sony PS3","Samsung","Openwave Mobile Browser","Obigo","SonyEricsson","Chromium"
Burkina Faso ,33.82,32.23,14.25,2.15,0,0,10.75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,90.36,6.9,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,21.28,28.34,35.44,3.3,0,0,6.64,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,38.76,12.58,6.85,1.21,0,0,26,0,7.47,0,2.38,0,0,0,0,0,0,0,1.57,1.37,0,0,0
Congo (Democratic Republic of the),36.76,31.15,15.59,3.64,0,0,6.14,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,40.26,26.68,17.18,5.61,1.22,0,5.02,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,37.49,27.5,20.77,11.74,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,38.94,18,26.55,12.91,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,34.04,34,15.12,4.26,0,0,3.08,0,3.62,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,21.21,27.08,33.5,1.77,0,0,8.96,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,53.37,16.74,11.48,12.4,1.76,1.48,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,17.94,11.58,11.89,3.13,4.04,2.75,35.04,0,9.82,1.45,1.21,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,45.61,13.65,25.16,11,0,0,1.22,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,33.69,25.09,15.07,0,0,0,18.62,0,3.09,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,23.73,22.53,5.36,3.11,1.94,1.39,28.56,0,7.32,2.15,0,0,0,0,0,0,0,0,0,0,0,1.94,0
Congo (Republic of the),38.1,31.43,9.89,3.22,0,0,11.28,0,1.42,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0
