"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","Yandex Browser","Opera","BlackBerry","UC Browser","Nokia","NetFront","Sogou Explorer","Maxthon","QQ Browser","360 Safe Browser","IEMobile","iPod Touch","Obigo","Phantom","Silk","Iron","Samsung","Openwave Mobile Browser","Sony PS3","Pale Moon"
Reunion ,31.41,14.49,33.05,9.27,2.74,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,14.77,8.8,61.33,2.08,0,1.89,0,4.52,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,34.99,11.06,34.36,3.2,0,4.06,0,5.23,0,1.67,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,33.43,20.13,12.1,18.38,4.55,7.13,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0
Guadeloupe ,38.51,21.18,19.28,9.15,1.5,7.07,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,21.17,12.55,19.94,5.12,5.91,5.93,0,14.47,0,3.21,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,46.64,17.95,24.69,3.24,0,2.08,0,1.19,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,34.41,29.08,18.41,5.51,1.65,5.85,0,1.42,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,38.65,27.9,11.93,11.43,2.28,4.14,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,39.05,21.51,17.59,7.71,1.88,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,25.24,6.51,12.23,1.85,2.48,4.41,0,38.8,0,2.23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,9.73,15.36,71.1,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,23.38,34.9,12.05,20.68,3.97,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,49.08,23.01,17,5.76,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,33.92,30.27,11.74,12.94,3.92,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,25.27,7.55,47.92,3.5,0,2.87,0,8.01,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,47.1,20.04,19.69,5.85,0,2.51,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,19.95,21.58,15.65,4.79,1.1,3.94,0,19.84,0,4.82,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,43.29,10,11.57,2.91,1.59,3.79,0,21.62,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,25.89,17.45,31.2,5.51,1.73,5.82,0,8.29,0,1.05,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,23.04,29.6,17.84,5.34,1.96,5.22,0,9.77,0,1.04,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,19.28,20.68,23.15,3.56,3.95,5.2,0,12.08,0,4.2,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,32.89,26.65,13.82,19.59,3.44,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,49.84,17.17,19.84,6.38,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo ,16.65,10.03,61.37,2.12,0,1.76,0,3.74,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,25.06,25.93,13.12,27.25,4.31,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,44.49,22.03,12.27,9.92,1.79,4.94,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,41.83,20.01,23.67,6.37,1.31,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,14.49,17,21.41,2.24,0,3.13,0,31.69,0,4.17,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,39.61,9.33,23.95,2.29,1.28,2.32,0,9.48,0,1.74,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,7.27,13.01,5.43,2.27,0,12.07,0,34.69,0,5.35,15.08,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0
Haiti ,27.95,26.48,18.32,8.81,2.31,4.16,0,5.47,0,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,53.17,22.47,96.36,6.47,2.02,1.8,0,3.64,1.8,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0
Botswana ,26.65,27.55,22.59,4.88,1.15,3.32,0,4.7,0,2.95,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,34.46,18.28,24.67,7.54,4.67,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,48.64,24.06,13.69,6.82,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,43.06,7.32,30.21,1.49,0,2.48,0,7.77,0,2.82,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,29.34,16.35,30.68,16.01,1.78,3.21,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0
Rwanda ,21.54,10.86,39.16,4.4,0,2.14,0,13.96,0,3.58,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,22.65,25.33,10.52,26.42,6.64,3.98,0,0,0,0,0,0,0,0,0,0,1.67,1.04,0,0,0,0,0,0,0,0
Cape Verde ,46.91,26.82,16.88,3.58,0,1.9,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,48.66,17.51,15.86,12.1,1.06,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,30.02,21.62,25.22,14.25,1.83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,37.53,8.84,19.02,3.5,1.35,2.53,0,10.06,0,7.86,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,50.14,17.02,16.43,8.72,1.06,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,33.76,27.11,15.15,14.84,2.45,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,13.41,22,24.55,4.37,0,4.95,0,15.1,0,4.27,4.93,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0
Gabon ,22.66,26.83,24.78,7.71,1.46,4.03,0,7.08,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,34.91,14.19,9.57,3.32,2,4.65,1.29,23.68,0,1.44,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,32.57,23.61,16.46,17.96,4.15,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
