"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","Unknown","NetFront","iPod Touch","Bolt","Sony PS3","Windows Media Player","Mozilla"
Bhutan ,32.99,34.72,24.85,2.47,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0
Benin ,36.02,36.14,12.91,1.95,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),44.18,33.96,10.36,2.3,0,0,0,4.45,2.87,0,0,0,0,0,0,0,0,0
Greenland ,62.68,18.34,7.32,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,47.05,34.87,9.43,1.89,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0
Gabon ,45.42,28.3,13.09,3.91,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0
Gambia ,28.89,52.76,7.39,1.73,0,0,0,6.44,1.04,0,0,0,0,0,0,0,0,0
Togo ,43.08,47.56,5.25,1.08,0,0,0,1.93,0,0,0,0,0,0,0,0,0,0
Anguilla ,59.65,14.91,15.09,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,40.92,31.49,15.19,10.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,54.87,15.05,8.9,2.84,0,0,0,14.83,1.52,0,0,0,0,0,0,0,0,0
Tajikistan ,28.94,22.85,12.16,2.38,0,0,0,31.94,0,0,0,0,0,0,0,0,0,0
Libya ,55.26,20.54,19.04,1.76,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0
Liberia ,58.02,21.74,7.52,7.88,0,0,0,2.25,1.32,0,0,0,0,0,0,0,0,0
Sierra Leone ,49.71,29.86,5.24,2.07,0,0,0,9.91,0,0,0,0,0,0,0,0,0,0
American Samoa ,40.98,29.14,18.41,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,58.79,16.65,7.28,2.31,0,0,0,10.94,2.21,0,0,0,0,0,0,0,0,0
