"Continent","IE","Chrome","Firefox","Safari","Android","iPhone","Opera","UC Browser","Nokia","NetFront","Dolfin","BlackBerry","360 Safe Browser","Maxthon","QQ Browser","iPod Touch","Obigo","Silk","Windows Media Player","Chromium","Iron","Unknown","RockMelt","Mozilla"
Monaco ,31.66,18.38,21.27,21.84,0,1.57,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,45.4,12.13,21.43,13.67,0,2.63,1.31,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,23.16,29.19,30.74,2.08,1.22,0,8.7,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,39.43,26.2,14.25,12.8,1.29,1.54,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0
Gambia ,12.95,12.19,49.86,3.71,2.53,1.61,10.03,2.08,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,31.27,17.01,28.71,7.15,1.71,1.07,7.92,0,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),26.92,14.87,29.78,3.78,1.75,0,11.19,2.37,4.45,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,34.29,18.89,32.79,4.81,1.28,0,3.91,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,25.26,16.91,31.72,3.47,2.05,0,6.16,1.37,5.31,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino ,34.27,24.9,24.79,12.52,1.01,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,34.6,29.46,18.35,12.13,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,86.46,4.63,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,45.35,9.85,17.49,1.77,1.12,0,18.44,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,48.61,17.01,14.6,13.44,1.86,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,37.87,12.73,15.03,3.08,0,0,25.45,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
