"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","Maxthon","UC Browser","NetFront","iPod Touch","Sony PS3","Chromium","Iron","Obigo","Flock","Windows Media Player"
Cook Islands ,48.08,26.36,10.97,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,55.97,36.08,6.54,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,58.72,17.58,14.88,6.96,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,39.07,20.03,33.39,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,46.59,45.16,3.88,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,56.7,21.98,16.82,1.95,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,24.92,60.25,10.17,1.41,0,0,1.13,0,0,0,0,0,0,0,0,0,0,1.73,0
Mayotte ,57,25.58,9.2,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,35.11,34.71,17.97,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46
Saint Helena ,83.14,8.29,8.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,36.96,30.36,26.24,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17
Central African Republic ,51.66,27.97,12.34,2.04,0,0,2.92,1.55,0,0,0,0,0,0,0,0,0,0,0
Comoros ,40.61,34.28,17.27,5.24,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,27.9,27.33,5.47,1.25,0,0,23.07,8.54,0,2.67,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,54.45,29.61,12.38,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,34.19,32.61,27.77,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,28.66,41.51,24.93,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,36.86,39.29,13.07,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,26.73,63.13,8.34,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,42.91,41.67,10.07,3.73,0,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0
Christmas Island ,0,52.44,46.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,24.14,3.45,72.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
