"Continent","IE","Chrome","Firefox","Safari","iPhone","Android","Opera","Nokia","UC Browser","NetFront","Dolfin","Sogou Explorer","360 Safe Browser","Maxthon","QQ Browser","BlackBerry","Yandex Browser","IEMobile","iPod Touch","Sony PS3","Obigo","Samsung","Phantom","Openwave Mobile Browser","Unknown","Iron","Maemo browser","RockMelt","Pale Moon"
Luxembourg ,25.41,21.81,28.65,14.08,4.82,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.81,27.74,42.83,3.08,1,2.17,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,9.33,24.25,19.68,7.84,2.95,10.79,16.49,5.39,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,15.16,9.47,16.52,2.44,0,1.47,46.82,3.89,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,21.8,11.35,31.4,3.25,0,2.66,16.98,6.27,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,21.19,7.94,17.54,2.77,1.19,4.51,34.25,4.57,1.71,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,9.26,13.02,29.01,1.13,0,1.18,27.17,9.1,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados ,22.93,39.7,23.55,6.78,0,2.34,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,31.12,33,12.55,13.43,1.72,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0
Reunion ,16.43,27.23,37,9.56,2.11,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,30.39,28.7,13.39,8.92,5.76,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,12.37,12.65,37.92,3.09,0,2.99,20.85,4.06,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,8.24,34.68,37,4.75,1.82,3.44,3.38,3.74,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,15.52,19.48,21.77,4.22,3.41,3.12,18.16,11.05,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,33.84,18.82,14.76,7.75,1.61,4.74,12.48,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,10.21,13.46,61.89,2.08,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,13.8,30.82,36.38,2.77,0,1.86,6.04,2.36,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,33.62,33.01,14.64,11.3,1.84,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,40.84,21.77,14.37,16.58,2.72,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,35.05,29.05,21.05,5.46,0,3.68,1.54,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,23.69,31.2,15,15.45,4.29,6.24,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,7.83,22.36,15.45,2.06,1.72,3.01,38.3,6.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,24.22,31.23,23.47,10.36,1.6,5.77,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,13.49,9.46,73.69,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,28.3,33.86,22.16,8.01,1.06,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,23.55,39.2,27.54,3.55,0,1.68,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,9.1,23.01,51.46,3.8,0,2.07,5.78,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,32.82,28.71,15.42,13.17,2.47,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,12.57,37.87,13.33,2.71,1.13,2.69,24.91,2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,25.59,18.69,18.46,4.37,1.03,2.3,17.69,7.14,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,23.08,42.28,22.37,6.02,0,1.41,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,20.58,10.68,18.97,2.44,0,2.07,36.7,3.24,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,25.4,43.35,19.02,7.59,0,1.04,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,33.05,19.22,18.38,6.02,2.05,4.44,10.5,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,26.34,17.53,26.58,3.52,3.97,3.48,9.18,4.21,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,27.87,24.68,12.92,26.75,3.56,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,31.77,26.24,21.98,7.86,1.54,2.38,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,21.14,23.37,30.92,5.33,1.46,4.09,8.18,1.94,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,31.72,22.53,22.68,4.2,0,2.32,6.73,3.18,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,18.12,24.18,34.45,18.1,1.42,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,29.04,21.79,12.31,23.51,7.35,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,14.1,19.56,43.81,4.31,0,2.18,10.55,1.4,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,100,9.17,41.18,10.66,1.22,2.14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53
Andorra ,29.93,32.4,17.14,12.97,2.36,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,22.43,33.26,27.17,7.58,1.63,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,30.61,29.07,15.54,18.98,2.38,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,23.1,29.58,29.44,6.76,2.01,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,24.37,25.63,28.9,14.75,1.15,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,22.25,44.23,18.26,9.93,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
