"Continent","Chrome","IE","Firefox","Safari","iPhone","Android","360 Safe Browser","Yandex Browser","Opera","IEMobile","UC Browser","Nokia","NetFront","Unknown","BlackBerry","Sogou Explorer","QQ Browser","Maxthon","Chromium","CoRom+","Phantom","Puffin","iPod Touch","SonyEricsson","Obigo","Openwave Mobile Browser","Silk","Iron","Kindle","Mozilla","Iceweasel"
Madagascar ,23.02,4.42,39.02,3.38,1.18,5.63,0,0,13.66,0,5.27,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,29.29,4.95,8.88,1.81,4.97,8.42,0,0,22.92,0,9.48,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,10.9,10.12,74.15,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,46.09,17.2,9.9,9.31,2.88,8.83,0,0,1.65,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0
Martinique ,41.75,13.29,13.86,7.24,3.36,17.72,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,12.86,9.59,14.5,1.87,1.16,2.76,0,0,44.43,1.33,3.83,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,52.51,16.53,12.46,7.78,1.29,5.34,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,44.7,6.33,7.85,3.22,3.09,7.34,0,1.68,18.63,0,2.52,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia ,21.29,14.16,9.14,3.28,2.48,10.02,0,0,22.56,2.03,2.31,9.66,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,7.81,5.66,7.97,1.13,1.43,12.58,0,0,27.43,0,11.46,5.36,5.77,0,0,0,0,0,0,0,4.07,0,0,0,1.52,4.37,0,0,0,0,0
Afghanistan ,25.73,15.32,21.33,3.68,5.19,8.9,0,0,7.35,0,5.72,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,35.49,22.59,8.46,14.49,7.34,8.76,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
