"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","BlackBerry","Opera","Nokia","Maxthon","UC Browser","NetFront","Sony PS3","iPod Touch","Bolt","Mozilla","Windows Media Player","Camino"
Equatorial Guinea ,65.51,14.96,5.19,2.52,0,0,0,7.58,2.61,0,0,0,0,0,0,0,0,0
Niger ,45.56,35.01,8.72,2.45,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,40.27,16.8,9,0,0,0,0,29.22,1.96,0,0,0,0,0,0,0,0,0
Liberia ,60.93,20.95,6.53,7.01,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0
American Samoa ,47.63,29.04,12.71,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,47.39,36.2,6.13,1.08,0,0,0,6.93,0,0,0,0,0,0,0,0,0,0
Somalia ,58.04,14.06,3.11,0,0,0,0,23.43,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,32.53,46.34,7.72,3.38,0,0,0,3.29,6.21,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,44.41,37.27,12.44,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,44.23,34.34,11.07,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi ,48.6,35.97,6.57,3.36,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0
Samoa ,59.46,24.4,10.28,3.04,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0
Micronesia ,43.54,36.56,11.31,6.22,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0
Solomon Islands ,51.53,16.86,8.57,4.78,0,0,0,12.38,2.59,0,0,1.12,0,0,0,0,1.23,0
Eritrea ,49.35,44.24,3.58,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0
Congo (Republic of the),45.85,29.77,7.12,3.01,0,0,0,9.1,2.59,0,0,0,0,0,0,0,0,0
Cook Islands ,54.47,29.15,10.89,3.82,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,63.47,26.96,7.29,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,38.69,44.23,5.85,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53
Guinea ,49.47,35.91,5.25,2.65,0,0,0,2.56,2.16,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,75.69,13.29,4.08,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,45.96,31.92,8.37,10.41,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0
Palau ,40.95,31.63,17.84,5.52,0,0,0,0,1.41,0,0,0,0,0,0,0,1.46,0
Montserrat ,49.05,21.9,25.02,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,53.68,27.91,10.69,4.64,1.21,0,0,1.17,0,0,0,0,0,0,0,0,0,0
Kiribati ,30.41,58.43,9.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,72.14,15.02,7.22,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,45.74,31.62,16.52,2.69,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,71.41,16.22,5.48,2.55,0,0,0,2.16,1,0,0,0,0,0,0,0,0,0
Comoros ,53.27,30.1,7.95,2.15,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0
Wallis and Futuna ,24.96,60.49,10.55,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,42.18,27.54,12.68,1.88,0,0,0,8.77,3.9,0,0,1.47,0,0,0,0,0,0
Tuvalu ,52.12,42.61,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue ,27.96,38.41,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0
North Korea ,20.51,74.58,1.27,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,19.79,44.79,35.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island (Bouvetoya) ,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
