"Continent","IE","Firefox","Chrome","Safari","Android","iPhone","Opera","Nokia","BlackBerry","UC Browser","NetFront","Maxthon","TheWorld","iPod Touch","Sony PS3","Samsung","Obigo","Chromium","Epiphany","Windows Media Player","AppleWebKit"
Solomon Islands ,31.03,14.81,7.86,3.88,0,0,22.19,11.88,0,1.26,2.94,0,0,0,0,0,1.63,0,0,0,0
Vanuatu ,40,31.08,19.08,6.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,34.2,31.83,25.77,5.62,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,42.92,29.63,12.38,4.27,1.44,0,4.34,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,44.65,21.83,20.51,9.68,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga ,32.95,46.21,10.44,6.87,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,64.06,16.07,13.24,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,61.62,12.37,21.2,2.36,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,47.19,44.74,4.45,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,36.89,19.79,35.73,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,18.16,10.9,3.19,0,0,0,22.32,38.01,0,1.05,1.53,2.63,0,0,0,0,0,0,0,0,0
Mayotte ,39.49,43.18,9.47,4.61,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena ,66.31,22.22,8.97,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
